,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2228,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2239,2240,2241,2242,2243,2244,2245,2246,2247,2248,2249,2250,2251,2252,2253,2254,2255,2256,2257,2258,2259,2260,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300
AFG,0.00018583458832981,0.000183127545364152,0.000180455037436018,0.000177816704444452,0.000175212188791724,0.000172641135385127,0.000170103191638407,0.000167598007472847,0.00016512523531799,0.000162684530112026,0.000160275549301825,0.000157897952842646,0.00015555140319751,0.000153235565336244,0.00015095010673421,0.000148694697370712,0.000146469009727096,0.000144272718784539,0.000142105502021544,0.000139967039411129,0.000137857013417732,0.000135775108993827,0.000133721013576255,0.000131694417082279,0.000129695011905372,0.000127722492910731,0.00012577655743053,0.000123856905258914,0.000121963238646743,0.000120095262296085,0.000118252683354462,0.000116435211408862,0.000114642558479515,0.000112874439013432,0.000111130569877732,0.000109410670352731,0.000107714462124828,0.000106041669279174,0.000104392018292128,0.000102765238023522,0.000101161059708714,9.9579216950455e-05,9.80194457105607e-05,9.64814843014018e-05,9.49650733772085e-05,9.34699559251999e-05,9.19958772565391e-05,9.05425849971196e-05,8.91098290781864e-05,8.76973617267967e-05,8.63049374561229e-05,8.49323130556035e-05,8.35792475809449e-05,8.22455023439786e-05,8.09308409023767e-05,7.96350290492309e-05,7.83578348024988e-05,7.70990283943192e-05,7.58583822602035e-05,7.46356710281041e-05,7.34306715073652e-05,7.22431626775581e-05,7.10729256772075e-05,6.99197437924081e-05,6.87834024453396e-05,6.76636891826797e-05,6.65603936639218e-05,6.54733076495986e-05,6.44022249894155e-05,6.33469416102981e-05,6.23072555043566e-05,6.12829667167692e-05,6.02738773335899e-05,5.92797914694822e-05,5.83005152553829e-05,5.73358568260982e-05,5.63856263078361e-05,5.54496358056778e-05,5.45276993909907e-05,5.36196330887867e-05,5.27252548650283e-05,5.18443846138855e-05,5.09768441449462e-05,5.01224571703834e-05,4.92810492920812e-05,4.84524479887233e-05,4.76364826028458e-05,4.68329843278579e-05,4.60417861950318e-05,4.52627230604657e-05,4.44956315920224e-05,4.37403502562446e-05,4.29967193052508e-05,4.22645807636142e-05,4.15437784152255e-05,4.08341577901444e-05,4.01355661514396e-05,3.94478524820213e-05,3.87708674714681e-05,3.81044635028496e-05,3.74484946395483e-05,3.68028166120817e-05,3.61672868049281e-05,3.55417642433558e-05,3.49261095802608e-05,3.43201850830124e-05,3.37238546203102e-05,3.31369836490536e-05,3.25594392012259e-05,3.19910898707958e-05,3.14318058006356e-05,3.08814586694615e-05,3.03399216787941e-05,2.98070695399436e-05,2.92827784610196e-05,2.87669261339683e-05,2.82593917216379e-05,2.77600558448743e-05,2.72688005696479e-05,2.67855093942148e-05,2.63100672363111e-05,2.58423604203843e-05,2.53822766648621e-05,2.49297050694593e-05,2.44845361025262e-05,2.40466615884371e-05,2.36159746950229e-05,2.3192369921047e-05,2.27757430837265e-05,2.23659913063006e-05,2.19630130056458e-05,2.15667078799404e-05,2.1176976896379e-05,2.07937222789372e-05,2.04168474961896e-05,2.00462572491797e-05,1.96818574593443e-05,1.93235552564932e-05,1.89712589668441e-05,1.8624878101115e-05,1.82843233426742e-05,1.79495065357485e-05,1.76203406736913e-05,1.72967398873107e-05,1.69786194332583e-05,1.66658956824802e-05,1.63584861087304e-05,1.6056309277147e-05,1.57592848328925e-05,1.54673334898586e-05,1.51803770194362e-05,1.48983382393504e-05,1.46211410025633e-05,1.43487101862417e-05,1.40809716807939e-05,1.38178523789735e-05,1.35592801650515e-05,1.33051839040581e-05,1.30554934310927e-05,1.28101395407042e-05,1.25690539763418e-05,1.23321694198754e-05,1.20994194811877e-05,1.18707386878367e-05,1.16460624747908e-05,1.14253271742348e-05,1.12084700054482e-05,1.09954290647563e-05,1.07861433155537e-05,1.05805525784006e-05,1.0378597521192e-05,1.01802196494006e-05,9.98536129639284e-06,9.79396561381875e-06,9.60597656207521e-06,9.42133890084336e-06,9.23999817969992e-06,9.06190072880253e-06,8.88699364964926e-06,8.71522480591232e-06,8.54654281434603e-06,8.38089703576909e-06,8.21823756612111e-06,8.05851522759347e-06,7.90168155983447e-06,7.74768881122878e-06,7.59648993025108e-06,7.44803855689387e-06,7.30228901416947e-06,7.15919629968597e-06,7.01871607729719e-06,6.88080466882651e-06,6.74541904586432e-06,6.61251682163926e-06,6.48205624296277e-06,6.35399618224706e-06,6.22829612959624e-06,6.10491618497046e-06,5.98381705042283e-06,5.86496002240901e-06,5.74830698416925e-06,5.63382039818264e-06,5.52146329869334e-06,5.41119928430866e-06,5.30299251066865e-06,5.19680768318697e-06,5.09261004986283e-06,4.99036539416377e-06,4.89004002797886e-06,4.79160078464221e-06,4.69501501202643e-06,4.6002505657057e-06,4.5072758021883e-06,4.41605957221811e-06,4.32657121414489e-06,4.238780547363e-06,4.15265786581819e-06,4.06817393158214e-06,3.98529996849451e-06,3.90400765587197e-06,3.82426912228404e-06,3.74605693939527e-06,3.66934411587343e-06,3.59410409136342e-06,3.52031073052635e-06,3.44793831714365e-06,3.37696154828559e-06,3.30735552854404e-06,3.23909576432896e-06,3.1721581582282e-06,3.10651900343033e-06,3.04215497821003e-06,2.97904314047562e-06,2.91716092237838e-06,2.85648612498318e-06,2.79699691300011e-06,2.73867180957653e-06,2.68148969114937e-06,2.62542978235698e-06,2.57047165101028e-06,2.5165952031228e-06,2.46378067799906e-06,2.41200864338094e-06,2.36125999065161e-06,2.3115159300966e-06,2.26275798622146e-06,2.21496799312575e-06,2.16812808993282e-06,2.12222071627487e-06,2.07722860783304e-06,2.03313479193195e-06,1.98992258318823e-06,1.9475755792127e-06,1.90607765636571e-06,1.86541296556512e-06,1.82556592814667e-06,1.78652123177599e-06,1.74826382641219e-06,1.71077892032218e-06,1.67405197614564e-06,1.63806870700993e-06,1.60281507269459e-06,1.56827727584507e-06,1.53444175823506e-06,1.50129519707714e-06,1.46882450138123e-06,1.43701680836044e-06,1.40585947988375e-06,1.37534009897531e-06,1.34544646635968e-06,1.31616659705274e-06,1.28748871699772e-06,1.25940125974598e-06,1.23189286318209e-06,1.20495236629275e-06,1.17856880597911e-06,1.15273141391213e-06,1.12742961343044e-06,1.10265301648037e-06,1.07839142059762e-06,1.05463480593024e-06
AGO,0.000166682228810144,0.000161137751861465,0.000155791051226943,0.000150634662445741,0.000145661416640593,0.000140864428310546,0.000136237083647109,0.000131773029350605,0.000127466161924554,0.000123310617426961,0.000119300761658321,0.000115431180767087,0.00011169667225422,0.000108092236359269,0.000104613067811238,0.000101254547928236,9.80122370506609e-05,9.48818672933158e-05,9.18593356025585e-05,8.89406971051762e-05,8.61221587362979e-05,8.34000731342161e-05,8.07709327905389e-05,7.82313644446096e-05,7.5778123711627e-05,7.34080899343717e-05,7.11182612488936e-05,6.8905749854946e-05,6.67677774823614e-05,6.47016710449552e-05,6.27048584739167e-05,6.07748647230036e-05,5.89093079381957e-05,5.71058957847869e-05,5.53624219252075e-05,5.36767626411592e-05,5.20468735939335e-05,5.0470786717048e-05,4.89466072355961e-05,4.74725108069492e-05,4.60467407776856e-05,4.46676055518447e-05,4.33334760658163e-05,4.20427833653843e-05,4.07940162806328e-05,3.95857191946126e-05,3.84164899018448e-05,3.72849775529045e-05,3.61898806814937e-05,3.51299453105644e-05,3.41039631342053e-05,3.31107697721412e-05,3.21492430938362e-05,3.12183016093153e-05,3.03169029239467e-05,2.94440422545422e-05,2.85987510042496e-05,2.77800953938138e-05,2.69871751468929e-05,2.62191222272068e-05,2.54750996253983e-05,2.47543001935687e-05,2.40559455255431e-05,2.33792848809978e-05,2.27235941516646e-05,2.20881748678995e-05,2.14723532439783e-05,2.08754792605472e-05,2.02969257827252e-05,1.97360877124175e-05,1.91923811734578e-05,1.86652427282585e-05,1.81541286246989e-05,1.76585140720391e-05,1.71778925446923e-05,1.6711775112743e-05,1.62596897981389e-05,1.5821180955533e-05,1.53958086767924e-05,1.49831482182327e-05,1.45827894496731e-05,1.41943363244487e-05,1.38174063695469e-05,1.3451630195075e-05,1.30966510222922e-05,1.27521242294768e-05,1.24177169149236e-05,1.20931074764006e-05,1.17779852064175e-05,1.14720499026857e-05,1.11750114931776e-05,1.0886589675212e-05,1.06065135680211e-05,1.03345213782712e-05,1.0070360078037e-05,9.81378509474136e-06,9.56456001260153e-06,9.32245628513229e-06,9.0872529582815e-06,8.85873640378643e-06,8.63670006235753e-06,8.42094419631165e-06,8.21127565129167e-06,8.00750762672421e-06,7.8094594546809e-06,7.61695638682196e-06,7.42982938911361e-06,7.24791494402318e-06,7.07105485990737e-06,6.89909608732041e-06,6.73189054197981e-06,6.56929493413743e-06,6.41117060411392e-06,6.25738336376366e-06,6.10780334364701e-06,5.96230484569474e-06,5.82076620115871e-06,5.68306963365024e-06,5.54910112707574e-06,5.41875029828662e-06,5.29191027426723e-06,5.16847757369199e-06,5.04835199268892e-06,4.93143649465338e-06,4.81763710396181e-06,4.70686280344092e-06,4.59902543545366e-06,4.49403960646826e-06,4.39182259498209e-06,4.29229426267685e-06,4.19537696868637e-06,4.10099548686281e-06,4.00907692593154e-06,3.91955065242898e-06,3.83234821632188e-06,3.74740327921026e-06,3.66465154502004e-06,3.58403069309482e-06,3.50548031359995e-06,3.42894184515493e-06,3.35435851461378e-06,3.28167527891575e-06,3.21083876893169e-06,3.14179723523441e-06,3.07450049572383e-06,3.00889988504039e-06,2.9449482057027e-06,2.88259968090785e-06,2.82180990893486e-06,2.76253581909439e-06,2.70473562916942e-06,2.64836880429424e-06,2.59339601722041e-06,2.53977910992093e-06,2.48748105648499e-06,2.43646592725798e-06,2.38669885418286e-06,2.33814599730044e-06,2.29077451236815e-06,2.24455251955782e-06,2.19944907319493e-06,2.15543413250272e-06,2.11247853331627e-06,2.07055396073261e-06,2.02963292266448e-06,1.98968872426614e-06,1.95069544320125e-06,1.91262790572347e-06,1.87546166354178e-06,1.83917297144349e-06,1.80373876564876e-06,1.76913664287154e-06,1.73534484006263e-06,1.70234221481159e-06,1.67010822638476e-06,1.63862291737787e-06,1.60786689596215e-06,1.57782131870378e-06,1.54846787393719e-06,1.51978876567337e-06,1.49176669802514e-06,1.46438486013186e-06,1.43762691156661e-06,1.41147696820984e-06,1.38591958857344e-06,1.3609397605604e-06,1.33652288864528e-06,1.3126547814614e-06,1.28932163978127e-06,1.26651004487696e-06,1.2442069472479e-06,1.22239965570379e-06,1.20107582679088e-06,1.18022345455017e-06,1.15983086059664e-06,1.13988668450878e-06,1.12037987451828e-06,1.10129967848992e-06,1.08263563518219e-06,1.06437756577931e-06,1.04651556568593e-06,1.02903999657568e-06,1.0119414786855e-06,9.95210883347601e-07,9.78839325751365e-07,9.62818157927671e-07,9.47138961948489e-07,9.31793543334727e-07,9.16773924665591e-07,9.02072339382975e-07,8.87681225784572e-07,8.73593221199647e-07,8.59801156341593e-07,8.46298049831609e-07,8.33077102888004e-07,8.20131694175854e-07,8.07455374811875e-07,7.9504186351958e-07,7.82885041929924e-07,7.70978950022841e-07,7.59317781705179e-07,7.47895880520735e-07,7.36707735488212e-07,7.25747977063057e-07,7.15011373219287e-07,7.04492825647527e-07,6.94187366065613e-07,6.84090152638234e-07,6.74196466502199e-07,6.64501708394045e-07,6.55001395376771e-07,6.45691157662636e-07,6.36566735529032e-07,6.27623976324529e-07,6.18858831562328e-07,6.10267354098392e-07,6.01845695391668e-07,5.93590102843849e-07,5.85496917216247e-07,5.77562570121399e-07,5.69783581587124e-07,5.62156557690808e-07,5.54678188261777e-07,5.47345244649676e-07,5.40154577556855e-07,5.33103114932809e-07,5.26187859928788e-07,5.19405888910772e-07,5.12754349529018e-07,5.06230458842504e-07,4.99831501496592e-07,4.93554827952321e-07,4.87397852765779e-07,4.81358052916055e-07,4.75432966180308e-07,4.69620189554565e-07,4.63917377718864e-07,4.58322241545436e-07,4.52832546648647e-07,4.4744611197545e-07,4.42160808435172e-07,4.36974557567441e-07,4.31885330247157e-07,4.26891145425409e-07,4.21990068905262e-07,4.17180212151427e-07,4.12459731132786e-07,4.07826825196839e-07,4.03279735975124e-07,3.98816746318716e-07,3.94436179262934e-07,3.90136397020394e-07,3.85915800001607e-07,3.81772825862307e-07,3.77705948576754e-07,3.73713677536251e-07,3.69794556672152e-07,3.65947163602674e-07,3.62170108802803e-07,3.58462034796659e-07,3.5482161537167e-07
ALB,0.000155473666262617,0.000154069091280755,0.000152652602565347,0.000151224760137941,0.00014978612439989,0.000148337255770969,0.000146878714331235,0.000145411059466454,0.0001439348495174,0.000142450641433319,0.000140958990429866,0.000139460449651779,0.000137955569840584,0.00013644489900759,0.000134928982112435,0.000133408360747436,0.000131883572827985,0.000130355152289216,0.000128823628789177,0.000127289527418712,0.000125753368418264,0.000124215666901777,0.000122676932587902,0.000121137669538666,0.000119598375905763,0.000118059543684633,0.000116521658476464,0.000114985199258239,0.00011345063816097,0.000111918440256205,0.000110389063350921,0.000108862957790898,0.000107340566272628,0.000105822323663853,0.000104308656832776,0.000102799984485987,0.000101296717015153,9.97992563524876e-05,9.83079958350171e-05,9.68233200776575e-05,9.53456048550844e-05,9.38752169923926e-05,9.24125142645163e-05,9.0957845304379e-05,8.9511549519729e-05,8.80739570186105e-05,8.66453885434094e-05,8.5226155413404e-05,8.38165594757443e-05,8.24168930647737e-05,8.10274389695988e-05,7.96484704098073e-05,7.82802510192236e-05,7.69230348375871e-05,7.55770663100295e-05,7.42425802942222e-05,7.29198020750559e-05,7.16089473867125e-05,7.03102224419791e-05,6.90238239686519e-05,6.77499392528701e-05,6.64887461892164e-05,6.52404133374156e-05,6.40050999854576e-05,6.27829562189695e-05,6.15741229966535e-05,6.03787322316091e-05,5.91969068783498e-05,5.80287610253258e-05,5.68743999927581e-05,5.57339204355909e-05,5.46074104513631e-05,5.34949496928013e-05,5.23966094849334e-05,5.13124529465222e-05,5.02425351156149e-05,4.91869030790086e-05,4.81455961054253e-05,4.71186457821959e-05,4.61060761552488e-05,4.51079038722005e-05,4.41241383283477e-05,4.31547818153585e-05,4.21998296724642e-05,4.12592704399528e-05,4.03330860147682e-05,3.94212518080203e-05,3.85237369042129e-05,3.7640504222e-05,3.67715106762818e-05,3.59167073414558e-05,3.50760396156403e-05,3.42494473856917e-05,3.34368651928375e-05,3.26382223987554e-05,3.18534433519256e-05,3.10824475540931e-05,3.03251498266765e-05,2.95814604769661e-05,2.88512854639561e-05,2.81345265636617e-05,2.74310815337741e-05,2.67408442775131e-05,2.60637050065377e-05,2.53995504027839e-05,2.47482637791002e-05,2.4109725238556e-05,2.34838118323051e-05,2.28703977158876e-05,2.22693543038621e-05,2.16805504226597e-05,2.11038524615623e-05,2.05391245217061e-05,1.99862285630206e-05,1.94450245490151e-05,1.89153705893316e-05,1.83971230799857e-05,1.78901368412226e-05,1.73942652529214e-05,1.69093603874813e-05,1.64352731401337e-05,1.59718533566225e-05,1.55189499582047e-05,1.50764110639241e-05,1.46440841101166e-05,1.42218159671105e-05,1.3809453053088e-05,1.34068414450787e-05,1.30138269870608e-05,1.26302553951484e-05,1.22559723598478e-05,1.18908236453688e-05,1.15346551859827e-05,1.11873131794191e-05,1.08486441772998e-05,1.05184951726102e-05,1.01967136842121e-05,9.88314783840572e-06,9.57764644754981e-06,9.28005908575459e-06,8.99023616166276e-06,8.70802898833767e-06,8.43328985028017e-06,8.16587206759834e-06,7.9056300573564e-06,7.65241939213195e-06,7.40609685581235e-06,7.16652049666357e-06,6.93354967770683e-06,6.70704512443985e-06,6.48686896994193e-06,6.27288479740313e-06,6.06495768012003e-06,5.86295421900142e-06,5.66674257762911e-06,5.47619251492009e-06,5.29117541543741e-06,5.1115643173985e-06,4.93723393843015e-06,4.76806069912071e-06,4.60392274442071e-06,4.44469996294345e-06,4.29027400421843e-06,4.14052829395024e-06,3.99534804733644e-06,3.85462028049829e-06,3.7182338200781e-06,3.58607931105765e-06,3.4580492228518e-06,3.33403785373183e-06,3.2139413336327e-06,3.09765762539849e-06,2.98508652452019e-06,2.87612965741952e-06,2.77069047833246e-06,2.66867426484561e-06,2.56998811213827e-06,2.47454092598245e-06,2.38224341455284e-06,2.29300807909783e-06,2.20674920352242e-06,2.12338284293301e-06,2.04282681119338e-06,1.96500066754062e-06,1.88982570230883e-06,1.81722492180762e-06,1.74712303240192e-06,1.67944642383821e-06,1.61412315186201e-06,1.55108292017015e-06,1.49025706174056e-06,1.43157851958145e-06,1.37498182694067e-06,1.32040308701511e-06,1.26777995219908e-06,1.21705160290951e-06,1.16815872602491e-06,1.12104349297387e-06,1.07564953750803e-06,1.0319219331933e-06,9.89807170652133e-07,9.4925313458862e-07,9.10209080627153e-07,8.72625611994341e-07,8.36454656072889e-07,8.01649440855109e-07,7.68164471322709e-07,7.35955505778519e-07,7.04979532154807e-07,6.75194744321848e-07,6.46560518419439e-07,6.19037389233083e-07,5.92587026635602e-07,5.67172212114022e-07,5.42756815400618e-07,5.19305771226113e-07,4.96785056212132e-07,4.75161665919103e-07,4.54403592064982e-07,4.34479799929275e-07,4.15360205956052e-07,3.97015655568797e-07,3.7941790120918e-07,3.62539580611031e-07,3.46354195320066e-07,3.30836089469172e-07,3.1596042881833e-07,3.01703180067582e-07,2.88041090450758e-07,2.74951667617016e-07,2.62413159806635e-07,2.50404536326864e-07,2.38905468333039e-07,2.27896309919615e-07,2.1735807952519e-07,2.07272441655075e-07,1.97621688924431e-07,1.8838872442452e-07,1.79557044414118e-07,1.71110721337692e-07,1.6303438717151e-07,1.55313217098406e-07,1.47932913511562e-07,1.40879690347241e-07,1.34140257746072e-07,1.2770180704213e-07,1.21551996078712e-07,1.15678934849415e-07,1.10071171462814e-07,1.04717678428751e-07,9.96078392640078e-08,9.47314354148383e-08,9.00786334936601e-08,8.56399728269348e-08,8.14063533110903e-08,7.73690235731374e-08,7.35195694324563e-08,6.98499026600631e-08,6.63522500315165e-08,6.30191426694839e-08,5.98434056718577e-08,5.68181480211989e-08,5.39367527711784e-08,5.11928675055916e-08,4.85803950654402e-08,4.60934845394989e-08,4.37265225137219e-08,4.14741245747885e-08,3.93311270630387e-08,3.72925790700161e-08,3.53537346758007e-08,3.35100454212945e-08,3.17571530106074e-08,3.00908822386828e-08,2.85072341393005e-08,2.70023793486e-08,2.55726516792771e-08,2.42145419006262e-08,2.29246917196162e-08,2.16998879582232e-08,2.0537056922267e-08
ARE,0.000279817745403264,0.000273825465960786,0.000267973267663829,0.000262257648148301,0.000256675197645286,0.000251222596412526,0.000245896612240229,0.000240694098028977,0.000235611989437563,0.000230647302598668,0.000225797131900336,0.000221058647831281,0.000216429094888128,0.000211905789542711,0.000207486118267678,0.000203167535618619,0.000198947562371077,0.000194823783710777,0.000190793847475514,0.000186855462447155,0.000183006396692277,0.000179244475950002,0.000175567582065619,0.000171973651468663,0.00016846067369412,0.000165026689945501,0.000161669791698538,0.000158388119344323,0.000155179860870718,0.00015204325058092,0.000148976567848091,0.000145978135904995,0.000143046320667624,0.000140179529591804,0.000137376210561846,0.000134634850810277,0.000131953975867767,0.000129332148542372,0.000126767967927228,0.000124260068435881,0.000121807118864456,0.000119407821479872,0.000117060911133368,0.000114765154398591,0.000112519348733553,0.000110322321665754,0.000108172929999824,0.000106070059047006,0.000104012621875886,0.000101999558583732,0.000100029835587873,9.81024449365278e-05,9.6216403638535e-05,9.43707530114439e-05,9.25645580474402e-05,9.0796906796599e-05,8.90669097669712e-05,8.73736993410249e-05,8.57164292079762e-05,8.409427381156e-05,8.25064278128003e-05,8.09521055673584e-05,7.94305406170442e-05,7.79409851950911e-05,7.64827097448061e-05,7.50550024512186e-05,7.36571687853599e-05,7.22885310608205e-05,7.09484280022382e-05,6.96362143253831e-05,6.83512603285142e-05,6.70929514946918e-05,6.5860688104739e-05,6.46538848605558e-05,6.34719705184944e-05,6.23143875325191e-05,6.11805917068734e-05,6.00700518579946e-05,5.89822494854154e-05,5.79166784514052e-05,5.68728446691074e-05,5.58502657989384e-05,5.48484709530194e-05,5.38670004074188e-05,5.29054053219903e-05,5.19632474675963e-05,5.1040098960514e-05,5.01355420038271e-05,4.92491686356092e-05,4.83805804837152e-05,4.75293885269971e-05,4.66952128627697e-05,4.58776824803554e-05,4.50764350405407e-05,4.42911166607846e-05,4.3521381706021e-05,4.27668925849037e-05,4.20273195513447e-05,4.13023405112037e-05,4.05916408339876e-05,3.98949131694249e-05,3.92118572687831e-05,3.85421798108002e-05,3.78855942321062e-05,3.72418205620137e-05,3.66105852615592e-05,3.59916210666811e-05,3.53846668354227e-05,3.47894673990531e-05,3.42057734169999e-05,3.36333412354916e-05,3.30719327498114e-05,3.25213152700648e-05,3.19812613903673e-05,3.14515488613619e-05,3.09319604659763e-05,3.04222838983346e-05,2.99223116457394e-05,2.94318408736428e-05,2.89506733135264e-05,2.84786151536144e-05,2.8015476932344e-05,2.75610734345203e-05,2.71152235900852e-05,2.66777503754308e-05,2.62484807171915e-05,2.58272453984473e-05,2.54138789672778e-05,2.50082196476027e-05,2.46101092522506e-05,2.42193930981966e-05,2.3835919923913e-05,2.34595418087762e-05,2.30901140944789e-05,2.27274953083922e-05,2.23715470888289e-05,2.20221341121586e-05,2.16791240217246e-05,2.13423873585181e-05,2.10117974935631e-05,2.06872305619671e-05,2.03685653985962e-05,2.00556834753309e-05,1.97484688398631e-05,1.94468080559938e-05,1.91505901453933e-05,1.88597065307862e-05,1.85740509805243e-05,1.82935195545125e-05,1.80180105514528e-05,1.77474244573713e-05,1.74816638953984e-05,1.7220633576767e-05,1.69642402529996e-05,1.67123926692536e-05,1.64650015187952e-05,1.62219793985729e-05,1.59832407658632e-05,1.57487018959617e-05,1.55182808408919e-05,1.52918973891067e-05,1.50694730261579e-05,1.48509308963086e-05,1.46361957650652e-05,1.44251939826049e-05,1.42178534480781e-05,1.40141035747618e-05,1.38138752560431e-05,1.36171008322134e-05,1.34237140580508e-05,1.32336500711731e-05,1.30468453611399e-05,1.28632377392879e-05,1.26827663092787e-05,1.25053714383424e-05,1.23309947291997e-05,1.21595789926459e-05,1.19910682207794e-05,1.18254075608602e-05,1.16625432897813e-05,1.1502422789139e-05,1.13449945208869e-05,1.1190208003559e-05,1.10380137890484e-05,1.08883634399273e-05,1.07412095072956e-05,1.05965055091451e-05,1.04542059092259e-05,1.03142660964035e-05,1.01766423644948e-05,1.00412918925704e-05,9.90817272571208e-06,9.77724375621545e-06,9.64846470522532e-06,9.5217961047944e-06,9.39719928035464e-06,9.27463633359123e-06,9.15407012570965e-06,9.03546426108603e-06,8.91878307129181e-06,8.80399159948352e-06,8.69105558514892e-06,8.57994144920087e-06,8.47061627941073e-06,8.3630478161729e-06,8.25720443859281e-06,8.15305515089038e-06,8.05056956911159e-06,7.94971790814064e-06,7.85047096900568e-06,7.75280012647098e-06,7.65667731690878e-06,7.56207502644416e-06,7.46896627936645e-06,7.37732462680083e-06,7.28712413563402e-06,7.19833937768791e-06,7.11094541913542e-06,7.02491781015281e-06,6.94023257480281e-06,6.85686620114322e-06,6.77479563155561e-06,6.693998253289e-06,6.6144518892134e-06,6.53613478877834e-06,6.45902561917168e-06,6.38310345667377e-06,6.30834777820264e-06,6.23473845304567e-06,6.16225573477332e-06,6.09088025333086e-06,6.02059300730377e-06,5.95137535635288e-06,5.88320901381534e-06,5.81607603946747e-06,5.74995883244587e-06,5.68484012432304e-06,5.62070297233395e-06,5.55753075275018e-06,5.49530715439805e-06,5.43401617231767e-06,5.37364210155939e-06,5.31416953111477e-06,5.25558333797879e-06,5.1978686813404e-06,5.14101099689843e-06,5.08499599130004e-06,5.02980963669883e-06,4.97543816543003e-06,4.92186806479993e-06,4.86908607198713e-06,4.81707916905288e-06,4.76583457805828e-06,4.71533975628564e-06,4.6655823915619e-06,4.61655039768165e-06,4.56823190992752e-06,4.52061528068584e-06,4.47368907515528e-06,4.42744206714655e-06,4.38186323497095e-06,4.33694175741588e-06,4.29266700980535e-06,4.24902856014357e-06,4.20601616533973e-06,4.16361976751229e-06,4.12182949037082e-06,4.08063563567381e-06,4.0400286797607e-06,3.99999927015651e-06,3.96053822224744e-06,3.92163651602583e-06,3.88328529290307e-06,3.8454758525888e-06,3.80819965003505e-06,3.77144829244389e-06,3.73521353633705e-06,3.69948728468639e-06,3.66426158410364e-06,3.62952862208827e-06,3.59528072433215e-06
