"time","country","Y_pc"
2020,ABW,36726.027616030566
2020,AFG,1482.0698487759184
2020,AGO,6941.106475033902
2020,ALB,12470.760813381747
2020,ARE,68908.99255844059
2020,ARG,21938.418604906365
2020,ARM,13851.607631223176
2020,AUS,50226.49909621147
2020,AUT,55295.22062089179
2020,AZE,15988.193689328766
2020,BDI,728.7024962342678
2020,BEL,50858.49587251208
2020,BEN,3030.8628135909375
2020,BFA,2086.258649540524
2020,BGD,4593.482583512986
2020,BGR,22939.984233882555
2020,BHR,43543.965751303316
2020,BHS,36649.13297000241
2020,BIH,14310.06258162987
2020,BLR,21316.496907555556
2020,BLZ,6742.0318280473175
2020,BOL,8511.031337710207
2020,BRA,14533.362764477768
2020,BRB,16873.355648056004
2020,BRN,66882.6256534541
2020,BTN,11050.544084170544
2020,BWA,16716.961011003048
2020,CAF,938.4196028716417
2020,CAN,48922.97557344167
2020,CHE,71316.39865560786
2020,CHL,23392.62030196467
2020,CHN,13934.917467708001
2020,CIV,4980.681308766392
2020,CMR,3490.061989977039
2020,COD,994.6035878356711
2020,COG,4376.054386756339
2020,COL,13671.021477477589
2020,COM,3058.5038644067095
2020,CPV,7110.238925176891
2020,CRI,19071.23686032546
2020,CUB,7687.359018316342
2020,CYP,27885.09725446655
2020,CZE,40650.71264476864
2020,DEU,51425.88475632177
2020,DJI,7019.344066674455
2020,DNK,55696.25235855877
2020,DOM,17588.79958515487
2020,DZA,11147.966024434127
2020,ECU,11066.886923243459
2020,EGY,10768.23475483606
2020,ERI,514.29396477043
2020,ESP,41335.03838527066
2020,EST,37091.17532541447
2020,ETH,2488.307536483092
2020,FIN,47103.89350712308
2020,FJI,13648.453465860674
2020,FRA,46245.99485316493
2020,GAB,14989.970767429819
2020,GBR,45942.61064475086
2020,GEO,14884.902384264926
2020,GHA,5430.31938636649
2020,GIN,2237.234158538028
2020,GMB,2116.6544773213263
2020,GNB,1657.9339974002075
2020,GNQ,21455.349275384284
2020,GRC,28993.931818077133
2020,GTM,7772.52734312009
2020,GUY,13268.712200864778
2020,HKG,58772.01534136099
2020,HND,5211.831941632625
2020,HRV,27675.99650315154
2020,HTI,1512.5002474779067
2020,HUN,33343.92322741927
2020,IDN,11350.945628202246
2020,IND,6483.276500603299
2020,IRL,101223.72284112197
2020,IRN,12891.71693963421
2020,IRQ,11222.64351624265
2020,ISL,58268.709935897474
2020,ISR,42051.224036718224
2020,ITA,41487.978166984954
2020,JAM,8906.602110624837
2020,JOR,10092.696494657537
2020,JPN,39753.378450873446
2020,KAZ,28408.66212589884
2020,KEN,4045.6703320358674
2020,KGZ,4930.984031679167
2020,KHM,4154.57825948141
2020,KOR,40781.77430679943
2020,KWT,55104.890444187324
2020,LAO,7251.468457359143
2020,LBN,14687.0444892067
2020,LBR,1198.5162373580797
2020,LBY,21560.514676316827
2020,LCA,15065.806833173123
2020,LKA,12660.553337302823
2020,LSO,2576.975654591531
2020,LTU,38008.91820069933
2020,LUX,111091.66924930038
2020,LVA,31761.345020310677
2020,MAC,103891.62461768975
2020,MAR,7632.783044081846
2020,MDA,8704.32035445046
2020,MDG,1458.343711999186
2020,MDV,18797.95822988776
2020,MEX,19104.759595104606
2020,MKD,16147.667042258252
2020,MLI,2340.723620012394
2020,MLT,50617.48066846888
2020,MMR,4787.07071101942
2020,MNE,20548.764990558266
2020,MNG,12623.964847777424
2020,MOZ,1136.5647036667385
2020,MRT,4168.852366355827
2020,MUS,23160.378802681626
2020,MWI,1064.5800860809659
2020,MYS,27584.409339084785
2020,NAM,9914.976743377198
2020,NER,1132.0045248904066
2020,NGA,4771.740543945111
2020,NIC,5039.124615030687
2020,NLD,55922.335986966384
2020,NOR,62049.14621040697
2020,NPL,3048.1091777451998
2020,NZL,41592.23926964958
2020,OMN,28739.368950746713
2020,PAK,4694.26522326843
2020,PAN,29117.970899594126
2020,PER,12239.32267850578
2020,PHL,8095.8668642494395
2020,PNG,3622.2087378640877
2020,POL,33280.60733584955
2020,PRT,34363.49291491851
2020,PRY,11986.41996598683
2020,PSE,5958.262219499454
2020,PYF,17651.162790697712
2020,QAT,101688.00719179734
2020,ROU,29017.272585127477
2020,RUS,28755.267946994838
2020,RWA,2081.8251446529284
2020,SAU,50389.64430466757
2020,SDN,11680.216094366353
2020,SEN,3105.6711671035328
2020,SGP,87926.55939147528
2020,SLB,3256.024096385546
2020,SLE,1707.6695878831417
2020,SLV,8289.518683586894
2020,SRB,13910.837335777229
2020,STP,3579.4702782179784
2020,SUR,15086.247078672546
2020,SVK,32330.33048131537
2020,SVN,39708.10267603752
2020,SWE,55534.979260877444
2020,SWZ,8346.209397712295
2020,SYR,5531.185200647048
2020,TCD,1561.7104436897387
2020,TGO,2127.0971326151544
2020,THA,17513.19319900071
2020,TJK,3227.8907928055078
2020,TKM,26908.25775672351
2020,TLS,2476.397966594054
2020,TON,4666.6666666666715
2020,TUN,10626.443379420516
2020,TUR,26408.90016011204
2020,TWN,48442.16943729782
2020,TZA,2200.5296403586976
2020,UGA,1955.0044680920873
2020,UKR,12859.79384941507
2020,URY,21144.949286458046
2020,USA,63028.770884723584
2020,UZB,11303.710166472749
2020,VCT,11875.043834274462
2020,VNM,7713.617142957589
2020,VUT,4738.09523809524
2020,WSM,4748.663101604271
2020,YEM,1678.0311151594476
2020,ZAF,12626.497061391861
2020,ZMB,3152.460297786284
2020,ZWE,2845.603170055265
2021,ABW,35633.998565827635
2021,AFG,1656.5924731943383
2021,AGO,7056.269565355183
2021,ALB,12534.701052938597
2021,ARE,73888.91679753216
2021,ARG,22739.771024088488
2021,ARM,13499.156258426854
2021,AUS,52565.14512697742
2021,AUT,56856.49822943767
2021,AZE,17877.653138809772
2021,BDI,713.6709625924003
2021,BEL,51926.46605652006
2021,BEN,3128.4178074547717
2021,BFA,2148.0094564612464
2021,BGD,4821.8942157304955
2021,BGR,23946.052311929983
2021,BHR,46815.71825797113
2021,BHS,37090.23057869584
2021,BIH,13457.35004136161
2021,BLR,22610.277283220756
2021,BLZ,6360.5212134551375
2021,BOL,8650.927508688237
2021,BRA,14666.847157487973
2021,BRB,16196.332893255345
2021,BRN,70654.7619915834
2021,BTN,11480.352518011312
2021,BWA,17436.18554106385
2021,CAF,937.6102005586633
2021,CAN,50440.77821913243
2021,CHE,75923.56485129568
2021,CHL,24527.17189390903
2021,CHN,15651.220447422795
2021,CIV,5541.364195543791
2021,CMR,3595.9118839240355
2021,COD,1036.820039759266
2021,COG,4489.58567746238
2021,COL,14023.963815941406
2021,COM,3029.0700148963942
2021,CPV,7174.164510486894
2021,CRI,19632.642774128723
2021,CUB,8061.315253970188
2021,CYP,27454.434105903125
2021,CZE,41856.5734177924
2021,DEU,53720.75619242199
2021,DJI,6596.458050533205
2021,DNK,58039.960928860455
2021,DOM,18263.64369784476
2021,DZA,11502.361161507935
2021,ECU,11438.176633165767
2021,EGY,11598.795473548158
2021,ERI,512.8821069894469
2021,ESP,42162.81506487086
2021,EST,38576.825651352185
2021,ETH,2542.711510644651
2021,FIN,48151.47443662069
2021,FJI,14234.069500317572
2021,FRA,47287.320669595785
2021,GAB,16388.636897137458
2021,GBR,46888.63213385102
2021,GEO,15545.237194586894
2021,GHA,5411.622279834344
2021,GIN,2140.6594793253444
2021,GMB,2150.5125126615217
2021,GNB,1743.8396778349359
2021,GNQ,22419.06708712865
2021,GRC,28862.304302145934
2021,GTM,7696.822327873416
2021,GUY,12296.232536902431
2021,HKG,58436.95875316054
2021,HND,5158.350149250513
2021,HRV,28213.665169464773
2021,HTI,1568.8294426489656
2021,HUN,34297.646520482645
2021,IDN,12056.90362086478
2021,IND,6919.720986168948
2021,IRL,116668.40825150954
2021,IRN,13244.024298430711
2021,IRQ,12320.314850437884
2021,ISL,59805.57824280448
2021,ISR,44132.09945844481
2021,ITA,42088.87296344323
2021,JAM,8657.470567727962
2021,JOR,10270.491535526904
2021,JPN,40699.414422212096
2021,KAZ,31430.989520383744
2021,KEN,4020.6392003230603
2021,KGZ,4877.9335841438415
2021,KHM,4462.522294797312
2021,KOR,43288.42723715151
2021,KWT,59388.18443834338
2021,LAO,7432.671447665371
2021,LBN,14888.610872304776
2021,LBR,1145.0712458792284
2021,LBY,22173.585745506807
2021,LCA,14498.313545065022
2021,LKA,13294.045433078163
2021,LSO,2528.197653361055
2021,LTU,38136.362689271366
2021,LUX,123763.37555854031
2021,LVA,32321.269417895208
2021,MAC,124387.54118633713
2021,MAR,7985.417272525026
2021,MDA,8519.849902025373
2021,MDG,1470.9650384972679
2021,MDV,20348.469180037177
2021,MEX,19617.51569791774
2021,MKD,16491.869077911328
2021,MLI,2333.5221232105123
2021,MLT,51791.89902256578
2021,MMR,4979.926654792943
2021,MNE,20596.43648819943
2021,MNG,13193.319126528493
2021,MOZ,1170.204183748674
2021,MRT,4380.539144367952
2021,MUS,22773.49316373814
2021,MWI,1064.9193551857634
2021,MYS,29014.627109947156
2021,NAM,9418.638695142592
2021,NER,1136.1204568090238
2021,NGA,4708.108466024536
2021,NIC,5115.207276793586
2021,NLD,58874.38249035422
2021,NOR,66239.77003144672
2021,NPL,3165.317389311978
2021,NZL,43734.672856731166
2021,OMN,30102.39432492778
2021,PAK,4761.240560387782
2021,PAN,31246.987898217187
2021,PER,12959.354326647033
2021,PHL,8302.492138944172
2021,PNG,4117.938492318035
2021,POL,35038.31799661019
2021,PRT,34520.44156333596
2021,PRY,12859.156093945365
2021,PSE,5897.672657123469
2021,PYF,18389.125355387685
2021,QAT,109588.03449676717
2021,ROU,29947.52538520833
2021,RUS,29967.70554334994
2021,RWA,2116.2174874887924
2021,SAU,53277.815622686074
2021,SDN,12020.402245744564
2021,SEN,3143.293358621882
2021,SGP,97351.69130157527
2021,SLB,3631.9192958716535
2021,SLE,1589.2492667176848
2021,SLV,7869.844283518052
2021,SRB,13781.012050223277
2021,STP,3495.8655163231874
2021,SUR,15391.61550762703
2021,SVK,32403.57519034203
2021,SVN,40026.73909256128
2021,SWE,57458.47072653721
2021,SWZ,8129.248368171936
2021,SYR,5939.812676808452
2021,TCD,1539.485347388007
2021,TGO,2157.164754121307
2021,THA,18371.214566131508
2021,TJK,3286.1102497643014
2021,TKM,31046.863721271224
2021,TLS,2839.553668300914
2021,TON,4942.233647402111
2021,TUN,10539.365174798437
2021,TUR,27620.101595202133
2021,TWN,50753.06917681545
2021,TZA,2292.540214778338
2021,UGA,1940.4307359438778
2021,UKR,13087.803836442274
2021,URY,21797.649598312386
2021,USA,64640.40657156066
2021,UZB,11811.50664614204
2021,VCT,11722.197095965423
2021,VNM,8329.989288825476
2021,VUT,5274.054983850264
2021,WSM,5025.450902500641
2021,YEM,1681.7802591446216
2021,ZAF,12831.161181422192
2021,ZMB,3328.508020332502
2021,ZWE,2697.044629445625
2022,ABW,34573.30490559209
2022,AFG,1806.9116889378683
2022,AGO,7142.902059207431
2022,ALB,12598.205181161147
2022,ARE,77861.11929702407
2022,ARG,23515.812480079338
2022,ARM,13202.799559684232
2022,AUS,54534.96531931672
2022,AUT,58242.27791229763
2022,AZE,19301.066917878572
2022,BDI,702.2285244576764
2022,BEL,52930.42843479401
2022,BEN,3236.9380216373047
2022,BFA,2222.11076667082
2022,BGD,5057.843193305056
2022,BGR,24943.577322867597
2022,BHR,49624.14609435792
2022,BHS,37477.47731160217
2022,BIH,12715.484352955358
2022,BLR,23808.921998370966
2022,BLZ,6015.995152378526
2022,BOL,8855.83635433966
2022,BRA,14818.428868668261
2022,BRB,15533.34610237542
2022,BRN,73706.53248388554
2022,BTN,11953.823652399966
2022,BWA,18085.250557721905
2022,CAF,935.0880909429034
2022,CAN,51774.13116318487
2022,CHE,79551.20976775282
2022,CHL,25586.077740288412
2022,CHN,17115.116991123472
2022,CIV,6105.0863113857195
2022,CMR,3720.1105391373685
2022,COD,1084.776633288154
2022,COG,4611.701697194227
2022,COL,14381.339139614165
2022,COM,2998.710930038463
2022,CPV,7259.545474021356
2022,CRI,20186.873238441218
2022,CUB,8421.299330241416
2022,CYP,27041.2153140906
2022,CZE,43053.25765269018
2022,DEU,55652.3717672947
2022,DJI,6273.262721537816
2022,DNK,60002.36583910428
2022,DOM,18907.74645144659
2022,DZA,11833.156925292367
2022,ECU,11804.211952215872
2022,EGY,12390.037634207614
2022,ERI,515.544764811005
2022,ESP,42857.91930860383
2022,EST,40020.43840946169
2022,ETH,2615.5191329821523
2022,FIN,49121.10357209447
2022,FJI,14816.78047367855
2022,FRA,48226.87655810511
2022,GAB,17526.574680199443
2022,GBR,47766.201325361464
2022,GEO,16223.12070168551
2022,GHA,5429.12194887923
2022,GIN,2066.5570538978895
2022,GMB,2197.428202188414
2022,GNB,1838.882907897745
2022,GNQ,23198.8897207036
2022,GRC,28723.048300894647
2022,GTM,7651.303499792298
2022,GUY,11660.602370493232
2022,HKG,58120.276268990754
2022,HND,5133.381536075456
2022,HRV,28720.968429907596
2022,HTI,1622.566216760285
2022,HUN,35241.41179904699
2022,IDN,12759.249088772895
2022,IND,7341.350888091055
2022,IRL,128344.95274780829
2022,IRN,13590.87507333031
2022,IRQ,13178.608425948501
2022,ISL,61280.74440251185
2022,ISR,45948.38916998033
2022,ITA,42619.633518921924
2022,JAM,8408.787876344095
2022,JOR,10480.085070970978
2022,JPN,41519.39436733818
2022,KAZ,33920.36807977501
2022,KEN,4032.530117427161
2022,KGZ,4849.675301823957
2022,KHM,4761.262203334435
2022,KOR,45486.446591254986
2022,KWT,62627.70042829761
2022,LAO,7642.989477322043
2022,LBN,15106.915377227022
2022,LBR,1096.8077690884113
2022,LBY,22765.038168199906
2022,LCA,13963.732116735746
2022,LKA,13932.063133385362
2022,LSO,2482.099687385689
2022,LTU,38357.52415273873
2022,LUX,133305.90856837208
2022,LVA,32878.59682480037
2022,MAC,139397.2445185151
2022,MAR,8360.968487342878
2022,MDA,8361.113665098674
2022,MDG,1494.123227343578
2022,MDV,21705.2047622538
2022,MEX,20116.865986759156
2022,MKD,16866.924756978675
2022,MLI,2354.521440314515
2022,MLT,52990.847611957106
2022,MMR,5169.548209122687
2022,MNE,20698.41223861575
2022,MNG,13825.50016768089
2022,MOZ,1210.3231400800448
2022,MRT,4593.7740104104505
2022,MUS,22477.352355391944
2022,MWI,1081.0612308214174
2022,MYS,30332.47990213335
2022,NAM,9013.831632058243
2022,NER,1143.9294227032713
2022,NGA,4659.112582959323
2022,NIC,5208.8841492538095
2022,NLD,61326.272614850706
2022,NOR,69527.1581179681
2022,NPL,3290.7243046005315
2022,NZL,45564.05556299314
2022,OMN,31242.246633251612
2022,PAK,4871.312637560303
2022,PAN,33155.463649783545
2022,PER,13645.718430876515
2022,PHL,8529.095294989433
2022,PNG,4554.001067531075
2022,POL,36615.22128722039
2022,PRT,34663.39783071632
2022,PRY,13708.156642183085
2022,PSE,5839.892704382188
2022,PYF,18964.21775260563
2022,QAT,114853.69026040133
2022,ROU,30876.80683991626
2022,RUS,31136.6107371942
2022,RWA,2166.659980885061
2022,SAU,55543.729278827064
2022,SDN,12393.449420927462
2022,SEN,3196.4046359779413
2022,SGP,104262.18112902
2022,SLB,3964.041145070878
2022,SLE,1499.953225172819
2022,SLV,7487.121854071632
