"time","country","l"
2021,DNK,5813.70141892786
2021,DOM,10945.7726738212
2021,DZA,44536.5860666349
2021,ECU,17857.2895130921
2021,EGY,104147.678750362
2021,ERI,3608.1483126931
2021,ESP,46719.1916545257
2021,EST,1322.5361150534
2021,ETH,117779.399488493
2021,FIN,5546.47621903902
2021,FJI,903.05244620648
2021,FRA,65428.1959265227
2021,GAB,2275.81153885481
2021,GBR,68161.2894997795
2021,GEO,3977.12502156706
2021,GHA,31713.1763469471
2021,GIN,13487.3362159804
2021,GMB,2485.36366131387
2021,GNB,2014.06613518555
2021,GNQ,1446.98327777976
2021,GRC,10368.8186717459
2021,GTM,18237.1029938887
2021,GUY,790.203273981402
2021,HKG,7547.99869106368
2021,HND,10057.3436285734
2021,HRV,4082.78528951031
2021,HTI,11536.5498864957
2021,HUN,9630.96780949517
2021,IDN,276184.546221989
2021,IND,1.39276755440455e6
2021,IRL,4971.62800316993
2021,IRN,84928.2544986274
2021,IRQ,41169.7720455873
2021,ISL,343.213279382796
2021,ISR,8784.33428838151
2021,ITA,60344.3171091407
2021,JAM,2971.91500548072
2021,JOR,10230.3358354382
2021,JPN,125972.360214536
2021,KAZ,18974.6950341454
2021,KEN,54959.6078926163
2021,KGZ,6618.54945303174
2021,KHM,16930.850416869
2021,KOR,51283.2143177334
2021,KWT,4318.91560687873
2021,LAO,7372.72008226195
2021,LBN,6737.56892669842
2021,LBR,5178.65299093331
2021,LBY,6948.8037836487
2021,LCA,184.281940067664
2021,LKA,21486.0400446386
2021,LSO,2159.0497000563
2021,LTU,2695.56745852931
2021,LUX,632.851878876357
2021,LVA,1868.35380382893
2021,MAC,658.017656413433
2021,MAR,37321.1668290508
2021,MDA,4021.95067213925
2021,MDG,28415.8323229341
2021,MDV,536.806938031882
2021,MEX,130178.700817389
2021,MKD,2081.46207201857
2021,MLI,20847.6195141049
2021,MLT,442.662666222874
2021,MMR,54827.0799276313
2021,MNE,627.879093497625
2021,MNG,3324.11591596802
2021,MOZ,32148.7293581655
2021,MRT,4771.37760122819
2021,MUS,1272.73991029498
2021,MWI,19646.7692709946
2021,MYS,32753.3994099801
2021,NAM,2585.94807331044
2021,NER,25118.9951728264
2021,NGA,211313.92668586
2021,NIC,6699.52803273788
2021,NLD,17171.6545508336
2021,NOR,5466.4530014469
2021,NPL,29643.0364911445
2021,NZL,4858.52578415957
2021,OMN,5196.66642741703
2021,PAK,225004.680259706
2021,PAN,4377.08760582853
2021,PER,33275.3382927718
2021,PHL,110994.542018738
2021,PNG,9114.79424836195
2021,POL,37779.9889023702
2021,PRT,10169.3018850186
2021,PRY,7215.61542849481
2021,PSE,5219.24550627507
2021,PYF,282.511496352553
2021,QAT,2927.65788653948
2021,ROU,19143.8156551971
2021,RUS,145773.760874346
2021,RWA,13261.9886555414
2021,SAU,35287.797648464
2021,SDN,44898.6659369254
2021,SEN,17183.8599553313
2021,SGP,5895.32921650173
2021,SLB,703.375099435581
2021,SLE,8136.26378822626
2021,SLV,6517.24893529287
2021,SRB,8690.44445643599
2021,STP,223.471104715122
2021,SUR,591.464975169576
2021,SVK,5457.63392191446
2021,SVN,2077.75767406665
2021,SWE,10155.7469979795
2021,SWZ,1172.59973124965
2021,SYR,18493.6567691501
2021,TCD,16904.1194628361
2021,TGO,8475.1258335016
2021,THA,69905.4495714057
2021,TJK,9734.4542832927
2021,TKM,6110.36216720696
2021,TLS,1343.1145427659
2021,TON,106.651214774643
2021,TUN,11922.405076494
2021,TUR,84807.0750272845
2021,TWN,23846.3771228962
2021,TZA,61470.3112339299
2021,UGA,46982.4184106693
2021,UKR,43451.0946517133
2021,URY,3484.13583379715
2021,USA,332861.052961945
2021,UZB,33888.270683261
2021,VCT,111.209356275126
2021,VNM,98080.8265758215
2021,VUT,314.244597676165
2021,WSM,200.546106947933
2021,YEM,30461.1939990776
2021,ZAF,59991.5804492043
2021,ZMB,18914.9505074428
2021,ZWE,15104.4598384991
2022,ABW,107.555219156291
2022,AFG,40708.1233884082
2022,AGO,35005.4958480777
2022,ALB,2862.80868018805
2022,ARE,10061.5553973957
2022,ARG,45983.965142579
2022,ARM,2968.84283514968
2022,AUS,26043.1193778481
2022,AUT,9045.48668442254
2022,AZE,10280.3038904174
2022,BDI,12607.3307706347
2022,BEL,11656.4776236205
2022,BEN,12776.1349758687
2022,BFA,22089.0998464605
2022,BGD,167730.998760546
2022,BGR,6842.44571646244
2022,BHR,1765.190253407
2022,BHS,400.228785493038
2022,BIH,3253.09883896041
2022,BLR,9423.71699077628
2022,BLZ,411.68720558487
2022,BOL,11984.9315455013
2022,BRA,215120.812919539
2022,BRB,287.942148352294
2022,BRN,444.868818943813
2022,BTN,786.955222752758
2022,BWA,2435.81312268616
2022,CAF,5027.07769754263
2022,CAN,38368.2683029794
2022,CHE,8766.45812077089
2022,CHL,19166.0259901243
2022,CHN,1.44672896483514e6
2022,CIV,27729.8528419198
2022,CMR,27888.8080236743
2022,COD,95128.0977120554
2022,COG,5794.28925509006
2022,COL,51329.6046498013
2022,COM,906.570338940973
2022,CPV,567.150167964448
2022,CRI,5176.31529738628
2022,CUB,11298.7333422078
2022,CYP,1222.15005880573
2022,CZE,10728.0453410837
2022,DEU,83676.2700383517
2022,DJI,1014.68164093262
2022,DNK,5835.27963167792
2022,DOM,11044.5243087485
2022,DZA,45232.8465361879
2022,ECU,18074.1202917401
2022,EGY,105993.084154588
2022,ERI,3670.94381088066
2022,ESP,46683.6274024051
2022,EST,1318.54530897361
2022,ETH,120664.184099672
2022,FIN,5552.24042233613
2022,FJI,909.709608853991
2022,FRA,65583.2464200707
2022,GAB,2327.02206216783
2022,GBR,68437.6913137021
2022,GEO,3965.11144213397
2022,GHA,32366.599110981
2022,GIN,13851.4520143847
2022,GMB,2556.01628069913
2022,GNB,2061.21266225943
2022,GNQ,1492.36136250513
2022,GRC,10314.8635724059
2022,GTM,18564.4096896126
2022,GUY,793.864432561228
2022,HKG,7599.35646693032
2022,HND,10212.4345419028
2022,HRV,4060.42570673627
2022,HTI,11672.1419077325
2022,HUN,9601.67498564049
2022,IDN,278871.357775152
2022,IND,1.40564876582044e6
2022,IRL,5005.69181106376
2022,IRN,85873.9710244934
2022,IRQ,42139.3499625227
2022,ISL,345.187853903862
2022,ISR,8915.04400360822
2022,ITA,60227.0346071663
2022,JAM,2982.70806612726
2022,JOR,10257.6041596852
2022,JPN,125470.271613875
2022,KAZ,19174.7707219814
2022,KEN,56174.1765534798
2022,KGZ,6714.27259904357
2022,KHM,17145.4149802876
2022,KOR,51297.249475549
2022,KWT,4367.81567660766
2022,LAO,7471.18177791343
2022,LBN,6650.82716137829
2022,LBR,5302.52264043404
2022,LBY,7027.19505438362
2022,LCA,184.937201831423
2022,LKA,21559.0775244212
2022,LSO,2175.97911324774
2022,LTU,2669.10625039064
2022,LUX,639.803284147213
2022,LVA,1850.67449630636
2022,MAC,666.809225572699
2022,MAR,37736.3434462802
2022,MDA,4009.97411456707
2022,MDG,29159.6176581694
2022,MDV,533.097684766706
2022,MEX,131436.688911026
2022,MKD,2079.5459096525
2022,MLI,21461.9921038752
2022,MLT,443.789192047686
2022,MMR,55247.5661530876
2022,MNE,627.696240261948
2022,MNG,3370.58035794002
2022,MOZ,33067.5544699528
2022,MRT,4896.2814944538
2022,MUS,1273.71356487288
2022,MWI,20177.5457803063
2022,MYS,33145.4377804042
2022,NAM,2631.77823975997
2022,NER,26065.741579808
2022,NGA,216618.148223014
2022,NIC,6775.35059136671
2022,NLD,17208.5150565846
2022,NOR,5512.04104465873
2022,NPL,30158.0602931977
2022,NZL,4895.09171276944
2022,OMN,5288.29859696747
2022,PAK,229193.589064766
2022,PAN,4440.3073141123
2022,PER,33581.6241073795
2022,PHL,112426.23084038
2022,PNG,9285.70732937008
2022,POL,37713.4900597614
2022,PRT,10141.970425221
2022,PRY,7299.66870268086
2022,PSE,5339.79656918247
2022,PYF,284.128191735818
2022,QAT,2975.00944118373
2022,ROU,19050.4073120748
2022,RUS,145613.238706273
2022,RWA,13579.177351115
2022,SAU,35768.1800438584
2022,SDN,45973.1769511511
2022,SEN,17635.3486286934
2022,SGP,5940.66135454603
2022,SLB,720.268418126675
2022,SLE,8298.72294251549
2022,SLV,6548.44548982927
2022,SRB,8643.77093454884
2022,STP,227.865973611167
2022,SUR,596.335733783496
2022,SVK,5455.6255831437
2022,SVN,2076.58401147457
2022,SWE,10212.5398258458
2022,SWZ,1185.16876038797
2022,SYR,19543.0000539484
2022,TCD,17396.305107321
2022,TGO,8676.17341796051
2022,THA,70011.0805161048
2022,TJK,9935.32785079536
2022,TKM,6190.57671639665
2022,TLS,1368.24879288528
2022,TON,107.614044040105
2022,TUN,12027.1035757319
2022,TUR,85277.6800896252
2022,TWN,23876.0160385857
2022,TZA,63256.8669348034
2022,UGA,48257.5291251874
2022,UKR,43170.2572475452
2022,URY,3494.57585709797
2022,USA,334729.892897005
2022,UZB,34312.5896111816
2022,VCT,111.472332943909
2022,VNM,98828.7300401359
2022,VUT,321.503067454518
2022,WSM,202.705211491214
2022,YEM,31109.948882445
2022,ZAF,60682.3338163994
2022,ZMB,19461.2820384802
2022,ZWE,15349.9177525956
2023,ABW,107.952013775622
2023,AFG,41628.2999691381
2023,AGO,36126.7716904784
2023,ALB,2855.34233110648
2023,ARE,10148.2406179097
2023,ARG,46383.1989079137
2023,ARM,2971.651232639
2023,AUS,26319.063122385
2023,AUT,9065.09359249968
2023,AZE,10351.6032843903
2023,BDI,12981.6390838761
2023,BEL,11690.0529458555
2023,BEN,13115.6747389072
2023,BFA,22707.0036210097
2023,BGD,169272.807868774
2023,BGR,6790.0540118008
2023,BHR,1797.88004527876
2023,BHS,403.765511730817
2023,BIH,3239.32868673999
2023,BLR,9410.94101429032
2023,BLZ,418.905824338151
2023,BOL,12143.9942936997
2023,BRA,216413.066366276
2023,BRB,288.22814807042
2023,BRN,448.608356908031
2023,BTN,794.740868152918
2023,BWA,2479.03075414953
2023,CAF,5128.73714525304
2023,CAN,38685.2082533547
2023,CHE,8822.91899369851
2023,CHL,19190.9831478617
2023,CHN,1.45044583516457e6
2023,CIV,28431.3938483984
2023,CMR,28585.5463115234
2023,COD,98039.8801622195
2023,COG,5937.52961885871
2023,COL,51554.433555187
2023,COM,925.643469838514
2023,CPV,572.815008388334
2023,CRI,5217.91203257888
2023,CUB,11284.8177633417
2023,CYP,1229.61238228183
2023,CZE,10737.5897335359
2023,DEU,83622.4844605885
2023,DJI,1028.29042531704
2023,DNK,5856.93793441403
2023,DOM,11144.1668707663
2023,DZA,45939.9919586364
2023,ECU,18293.5839216132
2023,EGY,107871.188521929
2023,ERI,3734.83218947415
2023,ESP,46648.0902230138
2023,EST,1314.56654531216
2023,ETH,123619.626077836
2023,FIN,5558.01061611049
2023,FJI,916.415847072585
2023,FRA,65738.6643493276
2023,GAB,2379.38492944837
2023,GBR,68715.2139685492
2023,GEO,3953.13415175139
2023,GHA,33033.4850899225
2023,GIN,14225.397797934
2023,GMB,2628.67737582728
2023,GNB,2109.46282489736
2023,GNQ,1539.16252557906
2023,GRC,10261.1892333759
2023,GTM,18897.5906556689
2023,GUY,797.542553968959
2023,HKG,7651.06368921977
2023,HND,10369.917060042
2023,HRV,4038.18857736263
2023,HTI,11809.327576672
2023,HUN,9572.47125662512
2023,IDN,281584.307489993
2023,IND,1.4186491109762e6
2023,IRL,5039.98901192414
2023,IRN,86830.2185538819
2023,IRQ,43131.7621408664
2023,ISL,347.173788546385
2023,ISR,9047.69866185438
2023,ITA,60109.9800501903
2023,JAM,2993.5403237757
2023,JOR,10284.9451659555
2023,JPN,124970.18419
2023,KAZ,19376.9560764439
2023,KEN,57415.5863270898
2023,KGZ,6811.38017539735
2023,KHM,17362.6987191014
2023,KOR,51311.2884744978
2023,KWT,4417.2694077269
2023,LAO,7570.95841640857
2023,LBN,6565.20213919395
2023,LBR,5429.35516273089
2023,LBY,7106.47067752203
2023,LCA,185.594793546661
2023,LKA,21632.363280454
2023,LSO,2193.04127235559
2023,LTU,2642.90480037226
2023,LUX,646.831045413606
2023,LVA,1833.16247932256
2023,MAC,675.718256151926
2023,MAR,38156.1386657168
2023,MDA,3998.03322076678
2023,MDG,29922.8715987451
2023,MDV,529.41406187031
2023,MEX,132706.833632698
2023,MKD,2077.63151127641
2023,MLI,22094.4700547303
2023,MLT,444.918584751797
2023,MMR,55671.2772204657
2023,MNE,627.513440277456
2023,MNG,3417.69427917879
2023,MOZ,34012.6400157575
2023,MRT,5024.45508960762
2023,MUS,1274.68796430306
2023,MWI,20722.6617313323
2023,MYS,33542.1686128828
2023,NAM,2678.42064377084
2023,NER,27048.1712915144
2023,NGA,222055.511794659
2023,NIC,6852.0312791606
2023,NLD,17245.4546867367
2023,NOR,5558.00927401381
2023,NPL,30682.0322175783
2023,NZL,4931.93284155207
2023,OMN,5381.54650510992
2023,PAK,233460.482723106
2023,PAN,4504.44012532556
2023,PER,33890.7291570436
2023,PHL,113876.386632063
2023,PNG,9459.82523107562
2023,POL,37647.1082657859
2023,PRT,10114.7124226481
2023,PRY,7384.70109680082
2023,PSE,5463.13204963654
2023,PYF,285.754138792011
2023,QAT,3023.12685366183
2023,ROU,18957.4547359073
2023,RUS,145452.893300919
2023,RWA,13903.9522896883
2023,SAU,36255.1020155704
2023,SDN,47073.4030706165
2023,SEN,18098.6997138014
2023,SGP,5986.34207409684
2023,SLB,737.567472273328
2023,SLE,8464.42596616532
2023,SLV,6579.79137501493
2023,SRB,8597.34808081293
2023,STP,232.347273693195
2023,SUR,601.24660346142
2023,SVK,5453.61798341566
2023,SVN,2075.41101184906
2023,SWE,10269.6502497784
2023,SWZ,1197.87251622737
2023,SYR,20651.8838256875
2023,TCD,17902.8213834113
2023,TGO,8881.99026862394
2023,THA,70116.871074919
2023,TJK,10140.3465084024
2023,TKM,6271.84429218699
2023,TLS,1393.85339047612
2023,TON,108.585565566564
2023,TUN,12132.7215015178
2023,TUR,85750.8965982943
2023,TWN,23905.6917927987
2023,TZA,65095.3465841368
2023,UGA,49567.2465583309
2023,UKR,42891.2349794103
2023,URY,3505.04716336012
2023,USA,336609.225386455
2023,UZB,34742.2214851145
2023,VCT,111.735931473394
2023,VNM,99582.3365517377
2023,VUT,328.929194477936
2023,WSM,204.887561224839
2023,YEM,31772.5207848927
2023,ZAF,61381.0406365744
2023,ZMB,20023.3935812966
2023,ZWE,15599.3645274813
2024,ABW,108.35027225669
2024,AFG,42569.2764509504
2024,AGO,37283.9635936088
2024,ALB,2847.89545463898
2024,ARE,10235.6726739933
2024,ARG,46785.8988293071
2024,ARM,2974.46228675142
2024,AUS,26597.9306699058
2024,AUT,9084.74300031816
2024,AZE,10423.3971777122
2024,BDI,13367.060511853
2024,BEL,11723.7249784605
2024,BEN,13464.2381425773
2024,BFA,23342.1921684675
2024,BGD,170828.789523185
2024,BGR,6738.06346351381
2024,BHR,1831.1752237317
2024,BHS,407.333491174099
2024,BIH,3225.61682266314
2024,BLR,9398.1823585256
2024,BLZ,426.251016023498
2024,BOL,12305.1681059262
2024,BRA,217713.082515971
2024,BRB,288.514431858937
2024,BRN,452.379329181849
2024,BTN,802.603539885128
2024,BWA,2523.01517829166
2024,CAF,5232.45238838388
2024,CAN,39004.7662768563
2024,CHE,8879.74350609465
2024,CHL,19215.9728037144
2024,CHN,1.45417225470839e6
2024,CIV,29150.6832283205
2024,CMR,29299.6910170775
2024,COD,101040.789560583
2024,COG,6084.31102121024
2024,COL,51780.2472341171
2024,COM,945.117876077426
2024,CPV,578.536430682139
2024,CRI,5259.84303805435
2024,CUB,11270.9193229751
2024,CYP,1237.12026994317
2024,CZE,10747.1426173232
2024,DEU,83568.7334552121
2024,DJI,1042.08172903063
2024,DNK,5878.67662439926
